Sample	DBS1	DBS2	DBS3	DBS4	DBS5	DBS6	DBS7	DBS8	DBS9	DBS10	DBS11	DBS12	DBS13	DBS14	DBS15	DBS16	DBS17	DBS18	DBS19	DBS20
Sample_36	0.0	4.162194895767693	0.0	6.191034719143914	0.0	9.0723171179156	2.0936520452005514	0.0	0.0	0.0	0.0	0.8293019163225257	22.728663122634774	2.376011974858958	0.7152344047036436	0.0	0.0	0.0	0.0	6.615861428780576
Sample_37	0.0	0.0	0.6985111758966326	0.0	0.0	5.867779528462498	0.0	0.0	0.0	0.0	1.1064385575177687	0.0	0.0	3.4696221297685605	0.0	0.0	24.19503239526117	0.0	0.0	0.0
Sample_38	0.16805075699032068	1.2038623940933262	0.0	0.0	0.0	1.7604427915819243	0.0	1.294973793052933	0.0	0.0	2.4795240028021586	0.11181191680572229	0.0	2.538710742932686	0.0	0.0	0.0	0.0	0.0	0.0
Sample_39	1.9870989081949642	5.021801387215817	2.2849352794683164	7.4745212530504155	0.0	6.110740772936051	0.0	1.3134909364082474	0.0	0.0	0.0	0.0	0.0	0.0	2.903149957261971	0.0	14.099591037554637	0.0	0.0	0.0
Sample_40	0.0	5.813229642350326	0.0	6.986776514632644	7.677077448652865	7.91253394033103	0.0	2.2171818869018347	13.407832301735017	0.0	11.838532184979467	0.0	0.0	2.578200598352069	0.0	0.0	0.0	0.0	0.0	0.0
Sample_41	1.117983178094277	2.625104785371815	0.0	0.45867012825836995	0.0	1.8111223259804403	0.0	0.0	0.2540475262916201	0.0	0.0	0.0	0.0	3.6720814830609143	0.0	0.0	9.538090539622331	0.0	0.0	0.0
Sample_42	0.0	0.0	0.0	2.3636336410120977	0.0	0.0	0.0	0.0	0.0	0.0	0.11587119213461548	0.0	3.1470112633476726	0.7837126873298182	0.0	0.0	2.152709717732309	0.0	0.0	0.0
Sample_43	1.1570652090913633	3.088401683164038	3.789588928689076	21.804332896132713	0.0	4.365130550628676	0.0	0.0	9.091963311365333	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.735939697034063	0.0	0.0	0.0
Sample_44	0.0	2.562598752010025	0.0	0.0	2.412997131210527	0.0	0.0	0.0	3.7172763759623293	0.0	6.34099495872858	0.0	0.0	4.095563899168411	0.0	0.0	21.07658928602943	0.0	0.0	0.0
Sample_45	0.0	33.47203502241744	0.0	4.599721367705702	3.29804585444093	16.543111614598217	0.0	0.0	16.73568993105365	2.1620887172231162	5.8322492084605315	0.0	19.661472006538073	1.7981605409331554	0.0	0.0	20.236475869110922	0.0	0.0	8.640314956846677
Sample_46	0.0	2.9787438570471125	0.0	0.0	0.6561576569184097	1.0319321639400871	0.0	4.050252151769419	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	28.956450409539144	0.0	0.0	0.0
Sample_47	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	31.153252975077056	0.0	0.0	0.0
Sample_48	0.0	17.2303557756115	0.0	29.643162666689754	0.0	27.919003842562482	0.0	0.0	0.0	0.0	0.0	0.0	33.728663176354154	1.9705204359510446	0.0	0.0	36.421625124651065	0.0	0.0	0.0
Sample_49	0.0	0.0	2.6576921495228896	0.0	0.0	0.0	21.237195620123007	13.660430826776532	0.0	0.0	0.0	0.0	0.0	31.20845754811691	28.350571419484794	0.0	0.0	0.0	0.0	0.0
Sample_50	0.0	0.0	0.0	3.252339300009428	0.0	9.351750398098796	0.0	0.0	0.0	0.0	0.0	0.0	6.6180639650785995	0.0	0.0	0.0	4.937881380989935	4.387582620863945	0.0	0.0
Sample_51	0.0	1.2746407149720889	0.0	0.522913808130617	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.8257336183230106	1.6454219800773233	0.0	0.0	2.3673619723423664	0.0	0.0	0.0
Sample_52	0.0	0.0	0.0	2.477750621004111	0.0	1.4461070827266385	0.0	0.0	2.3912233325459646	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0907489393656113	0.0
Sample_53	0.0	3.045261608116761	0.0	7.018628481087982	0.0	0.0	0.0	0.0	1.6553637553431886	0.0	3.095196386350544	0.0	0.0	3.2691955251152174	0.0	0.0	0.0	0.0	0.0	0.0
Sample_54	0.0	1.2605639416825132	0.0	1.803483029527355	0.5890052823924518	0.0	0.0	0.0	0.0	0.0	3.0266900145219013	0.0	0.0	1.4137156580444785	0.0	6.724757795203089	0.8972015162030322	0.0	0.0	0.0
Sample_55	0.0	8.470867402011166	3.3701134520895972	0.0	0.0	4.527499148201934	0.0	0.0	0.0	0.0	5.585717288404351	0.0	12.114953827034897	6.575497558338656	0.0	0.0	63.63872626747757	0.0	0.0	0.0
Sample_56	0.0	8.060306550664954	5.479570928343195	6.7112870561079205	5.194314661142613	13.157951590664961	4.301875659756448	0.0	9.59923039127853	0.0	0.0	0.0	7.32250228951291	0.0	0.0	0.0	0.0	0.0	11.081486159563074	0.0
Sample_57	0.0	6.600538582644928	0.0	8.03343455684442	2.573733917390422	12.427907081765163	0.7635580867624899	0.0	9.813506904297041	0.0	0.0	0.0	12.197286597428013	0.0	0.0	0.0	9.2703261714282	0.0	0.0	0.0
