Sample	ID1	ID2	ID3	ID4	ID5	ID6	ID7	ID8	ID9	ID10	ID11	ID12	ID13	ID14	ID15	ID16	ID17	ID18	ID19	ID20	ID21	ID22	ID23
Sample_44	30.746735984866188	39.818179300796245	0.0	36.35478250639076	0.0	71.71332277994642	6.280979597486627	25.102317011586205	0.0	28.616387804015623	38.85545410823858	0.0	20.486902633001037	51.977029097376445	26.07131235957112	0.0	0.0	0.0	37.469418773674285	0.0	0.0	8.829736708949206	0.0
Sample_45	0.0	38.125670001275495	109.87933141639316	97.83309203376172	0.0	975.0883174572127	0.0	459.26928353995885	69.71937075251266	0.0	28.757107445527243	0.0	45.740821369655265	57.47600546768005	0.0	0.0	0.0	0.0	106.91381090470233	0.0	0.0	29.794073264710995	0.0
Sample_46	0.0	0.0	0.0	24.157675252540784	0.0	1322.2977695671093	0.0	0.0	0.0	0.0	27.910971224070174	0.0	60.70593328839099	36.492276682890825	0.0	0.0	23.738413917173713	0.0	0.0	0.0	0.0	0.0	0.0
Sample_47	0.0	0.0	0.0	0.0	0.0	215.00611848296194	0.0	0.0	0.0	0.0	1.5844555623316725	0.0	8.59534848384498	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Sample_48	168.26516263475042	25.58045343131261	42.50634240220002	0.0	86.17619516819165	916.3638395903133	0.0	192.45436964878317	0.0	138.1673715644685	28.936681720886078	0.0	0.0	34.666270134548796	0.0	0.0	0.0	0.0	86.69809929233926	0.0	52.5172821294064	0.0	0.0
Sample_49	7743.833276080658	27199.575840889564	1077.3182890127248	1602.2720580802536	0.0	159.39650609747295	2536.4437369321527	0.0	0.0	0.0	0.0	0.0	181.40881442204198	411.62956053175355	0.0	0.0	0.0	0.0	523.4109873162647	0.0	0.0	0.0	0.0
Sample_50	155.6828310071884	98.35325646624487	39.26959221030276	66.94950519473677	0.0	12.905512823750314	0.0	36.401781901055614	60.755096725031315	34.70778254941929	10.797408154656015	0.0	0.0	12.477896136829811	0.0	0.0	0.0	23.41642309615102	41.02975025649308	0.0	0.0	0.0	0.0
Sample_51	15.437852264241714	5.098286855943808	0.0	11.014323754148045	18.176110273088085	19.620696671979722	0.0	11.410094621757048	19.923165746581994	18.511998895221318	7.389420815304064	0.0	7.984633894767079	8.52150886188021	0.0	0.0	0.0	0.0	12.408277398928508	0.0	10.684393908048722	2.099773540034091	11.062290516928812
Sample_52	0.0	9.690674223564208	0.0	27.308108393623066	39.25123355572899	37.37562289591005	0.0	4.015629683859172	0.0	4.86225008230102	28.452587341497033	0.0	10.077743563098153	34.410934833800965	16.692745966213373	0.0	0.0	0.0	8.877259815940011	0.0	28.347405943109493	16.903541686553694	0.0
Sample_53	20.50375136742312	9.665327367555792	16.402941560794268	0.0	46.11178028375243	26.985121747509226	0.0	11.527595450719948	20.721598008091313	21.028583178380117	14.409954289597225	0.0	0.0	1.905583788990333	0.0	0.0	0.0	0.0	9.820832386876932	1.3553358240194002	26.163962407447617	0.0	12.75000115809364
