gene_name	lfc	n_mutations	mtor_path
GGPS1	0.6543	0	0
SNF8	0.65378	0	0
NCAPG2	0.65292	0	0
ZNF335	0.65259	0	0
FTSJ3	0.65131	0	0
CCDC12	0.65062	0	0
TAF11	0.65056	0	0
CPSF2	0.65034	0	0
ACTR3	0.65012	0	0
SLIRP	0.65006	0	0
ATMIN	0.64896	0	0
DKC1	0.64819	0	0
RBM25	0.64817	0	0
HNRNPA2B1	0.64771	0	0
COX7C	0.64753	0	0
CEBPZ	0.64488	0	0
SDHAF2	0.64477	0	0
RFT1	0.64472	0	0
DCP2	0.6437	0	0
PTAR1	0.64035	0	0
SNRNP70	0.63999	0	0
AAGAB	0.63854	0	0
KDM8	0.63807	0	0
RPRD1B	0.63761	0	0
PPCS	0.63662	0	0
TFB2M	0.63498	0	0
LSM4	0.63487	0	0
PRELID1	0.6344	0	0
CHMP6	0.63347	0	0
HERC1	0.6331	0	0
RPS7	0.63252	0	0
CPSF6	0.63063	0	0
GEMIN7	0.62994	0	0
MED23	0.62907	0	0
NOL12	0.62875	0	0
SNAPC4	0.62743	0	0
RPL11	0.62699	0	0
E4F1	0.6256	0	0
WARS	0.62555	0	0
HNRNPC	0.62546	0	0
KIF4A	0.62459	0	0
EIF4A1	0.62451	0	0
POLR3F	0.62439	0	0
CENPL	0.62268	0	0
ANAPC2	0.62067	0	0
DIMT1	0.61943	0	0
GNB1L	0.6189	0	0
MMGT1	0.61852	0	0
LRR1	0.61841	0	0
NUP214	0.61783	0	0
DYNLRB1	0.61776	0	0
YBX1	0.61598	0	0
CKS1B	0.61591	0	0
CHTF8	0.6159	0	0
LETM1	0.61578	0	0
SLC7A6OS	0.61498	0	0
COG4	0.61455	0	0
UQCRC1	0.61351	0	0
PYCR2	0.61299	0	0
MRPL47	0.61057	0	0
GEMIN8	0.61034	0	0
SRP72	0.60828	0	0
CEP57	0.60753	0	0
LUC7L3	0.60673	0	0
CSNK2B	0.60664	0	0
DAP3	0.60517	0	0
KTI12	0.60457	0	0
RBM42	0.60345	0	0
TTI2	0.60324	0	0
TSEN34	0.60239	0	0
NOM1	0.60144	0	0
PSMG3	0.60077	0	0
DCTN1	0.60054	0	0
SEH1L	0.60002	0	0
HIRA	0.5994	0	0
MARS	0.5994	0	0
SF3A3	0.59844	0	0
PPP1CB	0.59839	0	0
ERF	0.59827	0	0
CTNNBL1	0.59818	0	0
YEATS2	0.59785	0	0
PDCD11	0.59597	0	0
CDC23	0.5958	0	0
SRSF11	0.5955	0	0
PPP1R15B	0.59515	0	0
PRMT5	0.59419	0	0
CCDC130	0.59134	0	0
PSMB3	0.59126	0	0
CCAR1	0.58979	2	0
SDHA	0.58914	0	0
GRPEL1	0.58562	0	0
SEC13	0.58315	0	0
ITPK1	0.58255	0	0
SNAP23	0.58205	0	0
SMARCE1	0.5804	0	0
