Sample	Gene	Impact	CNV
PM12-Z10-1-Case-WGS--PM12-EBC2-1-Ctrl-WGS	C1QL4	MODERATE	
PM12-Z10-1-Case-WGS--PM12-EBC2-1-Ctrl-WGS	CAB39	MODERATE	
PM12-Z10-1-Case-WGS--PM12-EBC2-1-Ctrl-WGS	CACNB2	MODERATE	
PM12-Z10-1-Case-WGS--PM12-EBC2-1-Ctrl-WGS	CHD6	MODERATE	
PM12-Z10-1-Case-WGS--PM12-EBC2-1-Ctrl-WGS	CHMP1B	HIGH	
PM12-Z10-1-Case-WGS--PM12-EBC2-1-Ctrl-WGS	COP1	MODERATE	
PM12-Z10-1-Case-WGS--PM12-EBC2-1-Ctrl-WGS	CP	MODERATE	
PM12-Z10-1-Case-WGS--PM12-EBC2-1-Ctrl-WGS	CR2	HIGH	
PM12-Z10-1-Case-WGS--PM12-EBC2-1-Ctrl-WGS	DBN1	MODERATE	
PM12-Z10-1-Case-WGS--PM12-EBC2-1-Ctrl-WGS	EDN1	HIGH	
PM12-Z10-1-Case-WGS--PM12-EBC2-1-Ctrl-WGS	EDNRA	HIGH	
PM12-Z10-1-Case-WGS--PM12-EBC2-1-Ctrl-WGS	ELMO2	MODERATE	
PM12-Z10-1-Case-WGS--PM12-EBC2-1-Ctrl-WGS	EMILIN3	MODERATE	
PM12-Z10-1-Case-WGS--PM12-EBC2-1-Ctrl-WGS	FAM117B	MODERATE	
PM12-Z10-1-Case-WGS--PM12-EBC2-1-Ctrl-WGS	GON4L	MODERATE	
PM12-Z10-1-Case-WGS--PM12-EBC2-1-Ctrl-WGS	GPR20	MODERATE	
PM12-Z10-1-Case-WGS--PM12-EBC2-1-Ctrl-WGS	HBEGF	MODERATE	
PM12-Z10-1-Case-WGS--PM12-EBC2-1-Ctrl-WGS	KCNC2	MODERATE	
PM12-Z10-1-Case-WGS--PM12-EBC2-1-Ctrl-WGS	KIAA0586	MODERATE	
PM12-Z10-1-Case-WGS--PM12-EBC2-1-Ctrl-WGS	KLB	HIGH	
PM12-Z10-1-Case-WGS--PM12-EBC2-1-Ctrl-WGS	KMT2C	HIGH	
PM12-Z10-1-Case-WGS--PM12-EBC2-1-Ctrl-WGS	KMT2D	HIGH	
PM12-Z10-1-Case-WGS--PM12-EBC2-1-Ctrl-WGS	MAP2K1	HIGH	
PM12-Z10-1-Case-WGS--PM12-EBC2-1-Ctrl-WGS	MBOAT2	MODERATE	
PM12-Z10-1-Case-WGS--PM12-EBC2-1-Ctrl-WGS	METTL13	MODERATE	
PM12-Z10-1-Case-WGS--PM12-EBC2-1-Ctrl-WGS	METTL16	MODERATE	
PM12-Z10-1-Case-WGS--PM12-EBC2-1-Ctrl-WGS	MFSD4A	MODERATE	
PM12-Z10-1-Case-WGS--PM12-EBC2-1-Ctrl-WGS	MGA	HIGH	
PM12-Z10-1-Case-WGS--PM12-EBC2-1-Ctrl-WGS	MPDZ	MODERATE	
PM12-Z10-1-Case-WGS--PM12-EBC2-1-Ctrl-WGS	NBAS	MODERATE	
PM12-Z10-1-Case-WGS--PM12-EBC2-1-Ctrl-WGS	NEB	MODERATE	
PM12-Z10-1-Case-WGS--PM12-EBC2-1-Ctrl-WGS	NOS2	HIGH	
PM12-Z10-1-Case-WGS--PM12-EBC2-1-Ctrl-WGS	PDE11A	MODERATE	
PM12-Z10-1-Case-WGS--PM12-EBC2-1-Ctrl-WGS	PDZRN4	MODERATE	
PM12-Z10-1-Case-WGS--PM12-EBC2-1-Ctrl-WGS	PON3	MODERATE	
PM12-Z10-1-Case-WGS--PM12-EBC2-1-Ctrl-WGS	RXFP2	MODERATE	
PM12-Z10-1-Case-WGS--PM12-EBC2-1-Ctrl-WGS	RYR1	MODERATE	
PM12-Z10-1-Case-WGS--PM12-EBC2-1-Ctrl-WGS	SDK1	MODERATE	
PM12-Z10-1-Case-WGS--PM12-EBC2-1-Ctrl-WGS	SLC28A1	HIGH	
PM12-Z10-1-Case-WGS--PM12-EBC2-1-Ctrl-WGS	SORCS1	MODERATE	
PM12-Z10-1-Case-WGS--PM12-EBC2-1-Ctrl-WGS	SPAG17	MODERATE	
PM12-Z10-1-Case-WGS--PM12-EBC2-1-Ctrl-WGS	STOX2	MODERATE	
PM12-Z10-1-Case-WGS--PM12-EBC2-1-Ctrl-WGS	SULT1C2	MODERATE	
PM12-Z10-1-Case-WGS--PM12-EBC2-1-Ctrl-WGS	TMPRSS11F	MODERATE	
